PEH bugs in Mutter,,
List of buggy functions and commit ID,,
sway/commands/output.c,86,5ea4a4d3eec897b915003ad7fc2b2e274d1a59c1
sway/commands.c,441,7c810dc344c28d1876c5ee158cb0806289d0f813
sway/commands/bar.c,81,e4f1ffe6015fbd33994a18f1de65cbd62c177a83
List of buggy functions and commit ID,,
swaybar/ipc.c,551,03daa53a0ef63d2a72acda05e94e5ba5c0b50d33
swaybar/bar.c,485,333dbcbe72b6af95573e374b66ad6ab63f274299
List of buggy functions and commit ID,,
sway/desktop/launcher.c,80,66568508c06267445489d655c91c94a34d6d9ffe
swaybar/bar.c,178,1fd2c6ba498e61f4fe823bf552f9d2fce8612de4
swaybar/bar.c,258,50d36ef238182c33bca8dfc01dd56957e31ff6bd
List of buggy functions and commit ID,,
sway/config.c,417,4eeca10a8a1bdef73c0ad7dc8e4d74bb31507676
sway/config.c,600,a7f7d4a488c8d3b2461122765f9904c8a411a583
,,
PEH bugs in BPF Compiler Collection,,
List of buggy functions and commit ID,,
bcc/src/cc/bcc_elf.c,742,68b8d3017c296d3c266e540f27ea5cf04c6c0f72
bcc/src/cc/bcc_elf.c,1321,75fe69ed28e4b8ba1f954025c889cc5c884e0c99
List of buggy functions and commit ID,,
bcc/src/cc/bcc_elf.c,750,a0d649e7d3251fdbb913b7349e9b601cc2d2776b
bcc/src/cc/bcc_elf.c,701,01553853352b5e86704c7fd37f2cfadbf3ef2d6d
bcc/src/cc/bcc_elf.c,840,8ddbf3b7f63db40ca2396e7a5eca7cdff2450b99
bcc/src/cc/bcc_elf.c,1321,75fe69ed28e4b8ba1f954025c889cc5c884e0c99
List of buggy functions and commit ID,,
bcc/src/cc/bcc_elf.c,664,01553853352b5e86704c7fd37f2cfadbf3ef2d6d
bcc/src/cc/bcc_elf.c,1321,75fe69ed28e4b8ba1f954025c889cc5c884e0c99
List of buggy functions and commit ID,,
bcc/src/cc/bcc_elf.c,877,7eef39cf797b7540a69d58e2e2cf22a611ebdf45
bcc/src/cc/bcc_elf.c,1321,75fe69ed28e4b8ba1f954025c889cc5c884e0c99
,,
PEH bugs in ESP-IDF,,
List of buggy functions and commit ID,,
esp-idf/components/bt/host/bluedroid/bta/gatt/bta_gattc_cache.c,288,39c03e0ce05d26448d338d4a5b654885216089ee
esp-idf/components/bt/esp_ble_mesh/common/timer.c,91,5bab168b0e0c09cc0778a614314acf2d274a3006
esp-idf/components/bt/esp_ble_mesh/core/beacon.c,506,5bab168b0e0c09cc0778a614314acf2d274a3006
List of buggy functions and commit ID,,
esp-idf/components/wpa_supplicant/src/eap_peer/eap_tls_common.c,325,bb16734aa90a5129d087c7a5ad50ffab6dddd065
esp-idf/components/wpa_supplicant/src/rsn_supp/wpa.c,1646,0960aa8d87779e2edaf49b2affa4147d00990206
esp-idf/components/wpa_supplicant/src/tls/tlsv1_cred.c,1015,c2429f1cf9106504422da7194a42a62df5141a8b
List of buggy functions and commit ID,,
esp-idf/components/wpa_supplicant/src/wps/wps_enrollee.c,182,ecc87cfc8d6bbeb44217f4b019e90268079f7804
esp-idf/components/wpa_supplicant/src/wps/wps_registrar.c,2019,ecc87cfc8d6bbeb44217f4b019e90268079f7804
esp-idf/components/wpa_supplicant/src/tls/tlsv1_client_read.c,783,50b4cf92860d99cdd3815793ac29b5e40cdb2323
List of buggy functions and commit ID,,
esp-idf/components/wpa_supplicant/src/wps/wps_enrollee.c,182,ecc87cfc8d6bbeb44217f4b019e90268079f7804
esp-idf/components/wpa_supplicant/src/wps/wps_registrar.c,2019,ecc87cfc8d6bbeb44217f4b019e90268079f7804
esp-idf/components/wpa_supplicant/src/tls/tlsv1_client_read.c,783,50b4cf92860d99cdd3815793ac29b5e40cdb2323
List of buggy functions and commit ID,,
esp-idf/components/vfs/vfs.c,465,b6a9acfc071b53b392ddfd233f166f45bdddace6
esp-idf/components/vfs/vfs_semihost.c,490,305592f1aa8850d749a4dc6a61584a8df9b069c3
esp-idf/components/esp_hw_support/esp_clock_output.c,127,b85736f6a60eb33502253d0119983d7c7c18cd19
List of buggy functions and commit ID,,
esp-idf/components/wpa_supplicant/src/wps/wps_registrar.c,1340,ecc87cfc8d6bbeb44217f4b019e90268079f7804
esp-idf/components/wpa_supplicant/src/eap_peer/eap_tls.c,238,5c0fb109028d25a2a0ea348d40fa22a423ce24f5
List of buggy functions and commit ID,,
esp-idf/components/wpa_supplicant/src/wps/wps_registrar.c,1388,ecc87cfc8d6bbeb44217f4b019e90268079f7804
esp-idf/components/wpa_supplicant/src/eap_peer/eap_peap.c,1183,5c0fb109028d25a2a0ea348d40fa22a423ce24f5
esp-idf/components/wpa_supplicant/src/eap_peer/eap_tls.c,238,5c0fb109028d25a2a0ea348d40fa22a423ce24f5
,,
PEH bugs in OpenVPN,,
List of buggy functions and commit ID,,
openvpn/src/openvpn/console_builtin.c,216,81d882d5302b8b647202a6893b57dfdc61fd6df2
openvpn/sample/sample-plugins/client-connect/sample-client-connect.c,327,94cebf8261d20a55b0260cce61ad892a98bc24d8
openvpn/src/openvpn/ssl_verify_mbedtls.c,243,c58c7c3c669461805956dabc703c1279fe58eeee
List of buggy functions and commit ID,,
openvpn/src/openvpn/networking_sitnl.c,219,c6542257019ba66a98b817d3b851621dd553f80a
openvpn/src/openvpn/networking_sitnl.c,817,db3d737ba3ef9d83c5ceffa2f653d0ee4a8abb54
openvpn/src/openvpn/manage.c,1901,298f3bedbc42578d39055990669f7dda0f787d68
openvpn/src/openvpn/networking_sitnl.c,579,c6542257019ba66a98b817d3b851621dd553f80a
openvpn/src/openvpn/networking_sitnl.c,610,c6542257019ba66a98b817d3b851621dd553f80a
List of buggy functions and commit ID,,
openvpn/src/openvpn/networking_sitnl.c,296,c6542257019ba66a98b817d3b851621dd553f80a
openvpn/src/openvpn/networking_sitnl.c,817,db3d737ba3ef9d83c5ceffa2f653d0ee4a8abb54
openvpn/src/openvpn/networking_sitnl.c,579,c6542257019ba66a98b817d3b851621dd553f80a
openvpn/src/openvpn/networking_sitnl.c,610,c6542257019ba66a98b817d3b851621dd553f80a
List of buggy functions and commit ID,,
openvpn/src/openvpn/networking_sitnl.c,817,db3d737ba3ef9d83c5ceffa2f653d0ee4a8abb54
openvpn/src/openvpn/networking_sitnl.c,579,c6542257019ba66a98b817d3b851621dd553f80a
openvpn/src/openvpn/networking_sitnl.c,610,c6542257019ba66a98b817d3b851621dd553f80a
List of buggy functions and commit ID, , 
openvpn/src/openvpnserv/interactive.c,1378,18826de5737789cb74b48fc40a9ff5cb37d38d98
openvpn/src/openvpnserv/validate.c,167,6370f703573c6284e0b3c5935ab204285cdda8e6
openvpn/src/tapctl/tap.c,76,e5e9a07e8baee4065b7dfd65736bfa77b8329cfc
List of buggy functions and commit ID,,
openvpn/tests/unit_tests/openvpn/test_pkcs11.c,375,3013fde1c8290830d424b9f4ea84ee7c7dbfb75e
openvpn/src/openvpn/manage.c,853,81d882d5302b8b647202a6893b57dfdc61fd6df2
openvpn/src/openvpn/pkcs11_mbedtls.c,94,03c8bfc90fbc63007f62d3ed165942d149225551
